ID,ID.1,Years_of_Experience,Education_Level,Spell_Check_Ratio,Section_Score,Brevity_Score,Skill_Count,Technical_Score,Managerial_Score,Overall_Score,Extracted_Skills,PageRank,Inverse_Betweenness,InDegree,IncomingEdgeWeightSum,Reciprocity,CreditScore
811,811,13,Master,0.9744897959183674,1.0,0.97,7,0.82,0.7072253422253423,0.8346165822594394,"['communication', 'leadership', 'time management', 'organization', 'attention to detail', 'customer service', 'interpersonal skills']",0.0011678318406652547,111.91144504182381,3,0.15669394411118107,0.0,4.736693115296899e-05
448,448,13,Bachelor,0.9745508982035928,1.0,0.83,7,0.76,0.7225768575686609,0.8012281470909576,"['communication', 'leadership', 'time management', 'organization', 'customer service', 'decision making', 'professionalism']",0.001051249974857784,379.0397928230803,2,0.10795625077246529,0.0,0.00014737215421934457
595,595,20,Master,0.979539641943734,0.8,0.5449999999999999,7,0.82,0.7496374207188161,0.7853451904100183,"['communication', 'leadership', 'organization', 'attention to detail', 'customer service', 'multitasking', 'initiative']",0.000372463749201886,581.0692313774865,2,0.08122063347227162,0.0,0.00016997139915055372
178,178,10,PhD,0.9744744744744744,0.8,0.835,5,0.8,0.6418528571428571,0.7735033045903046,"['communication', 'leadership', 'customer service', 'interpersonal skills', 'professionalism']",0.0007436921863670533,250.22535544337737,2,0.20860734108384962,0.0,0.00018799393994672916
10,10,25,Bachelor,0.982084690553746,1.0,0.965,4,0.64,0.72905,0.7694234690553746,"['communication', 'time management', 'organization', 'critical thinking']",0.0010203531346535805,572.9055428650058,3,0.20167106486737643,0.0,0.00031208301763748853
649,649,13,Bachelor,0.9705882352941176,1.0,0.885,5,0.6799999999999999,0.7044623121976064,0.7688975171886936,"['communication', 'organization', 'critical thinking', 'interpersonal skills', 'professionalism']",0.001084792382886654,93.17661050729546,3,0.26445411091143306,0.25,6.38578385965915e-05
962,962,10,Master,0.9743223965763196,0.9,0.7475,6,0.78,0.6422102425876011,0.7668453124339123,"['communication', 'leadership', 'creativity', 'organization', 'interpersonal skills', 'initiative']",0.0005545887078645639,866.999789946569,2,0.1175327288992185,0.0,0.0003669943759366496
798,798,10,Bachelor,0.9604904632152588,1.0,0.665,7,0.76,0.6622038961038961,0.7652102151526947,"['communication', 'leadership', 'problem-solving', 'time management', 'organization', 'customer service', 'initiative']",0.0010765955414722163,390.0595657972068,3,0.29414844615405367,0.0,0.0003099142741470773
560,560,23,Bachelor,0.9537190082644628,0.8,0.9875,5,0.6799999999999999,0.7241206050047513,0.7633580823278716,"['communication', 'leadership', 'creativity', 'organization', 'initiative']",0.00027742256048028993,1235.3782698842826,1,0.0709578426811734,0.0,0.0004735577807588132
108,108,17,Master,0.9636150234741784,0.9,0.37,6,0.78,0.7473032564450475,0.7595524792809321,"['communication', 'leadership', 'analytical skills', 'organization', 'customer service', 'initiative']",0.0006946289627985419,76.08079905613964,3,0.11717528679389652,0.0,2.4080132210761812e-05
625,625,19,Master,0.9778481012658228,0.9,0.92,3,0.6599999999999999,0.7167356013551666,0.7588054905331322,"['communication', 'organization', 'flexibility']",0.0014366667666377748,30.662733194115248,6,0.4157729801309214,0.3333333333333333,1.607732207987316e-05
716,716,14,Master,0.9587912087912088,1.0,0.6799999999999999,4,0.7,0.714671442687747,0.7582805536854449,"['communication', 'leadership', 'organization', 'initiative']",0.0009251996631696724,3257.341881139948,2,0.16565878475048318,0.0,0.0019433866061883147
44,44,9,Master,0.9581950895819508,1.0,0.5,7,0.79,0.6397061063936065,0.753731340876277,"['communication', 'teamwork', 'time management', 'analytical skills', 'organization', 'customer service', 'initiative']",0.001815820581853157,347.35219042842743,5,0.24243191214631327,0.0,0.00015164010856571976
744,744,28,PhD,0.973061224489796,1.0,0.5,3,0.72,0.7228320907487574,0.7521557496736069,"['communication', 'leadership', 'customer service']",0.0002728918543803116,311.2751707424485,1,0.07426249467094304,0.0,0.00012487830846315224
